uncertainty_type;budget;uncertainty;num_stages;alpha;overage_cost;uncertainty_scale;end_of_horizon_scale;iteration;test_name;runtime;objective;avg_samples
OTHER;;MULTI_AVERAGE;20;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.204233;130.773;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;AFF;0.00464106;64.2256;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3' CG;0.063982;77.5759;nan
OTHER;;MULTI_AVERAGE;15;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.236872;110.387;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;0.221708;64.0891;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.00554085;39.8248;nan
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;0.314585;49.2722;nan
OTHER;;MULTI_AVERAGE;20;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.317396;181.637;nan
OTHER;;MULTI_AVERAGE;20;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.314181;240.272;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.00631213;43.4349;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.00774193;46.8717;nan
OTHER;;MULTI_AVERAGE;15;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.397385;147.41;nan
OTHER;;MULTI_AVERAGE;15;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.430442;189.935;nan
OTHER;;MULTI_AVERAGE;15;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.264491;110.387;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.0105851;39.825;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;AFF;0.0132451;78.308;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;0.519018;64.0759;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.0196772;43.4348;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.015661;46.8718;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;AFF;0.0215521;103.013;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.0108471;39.483;nan
OTHER;;MULTI_AVERAGE;10;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;0.838677;88.2833;nan
OTHER;;MULTI_AVERAGE;20;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.74538;130.773;nan
OTHER;;MULTI_AVERAGE;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.0585191;65.9203;nan
OTHER;;MULTI_AVERAGE;15;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.502818;147.41;nan
OTHER;;MULTI_AVERAGE;15;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.453399;189.935;nan
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;0.801413;49.18;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.015362;46.8225;nan
OTHER;;MULTI_AVERAGE;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.128677;65.9202;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;AFF;0.034174;130.666;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.0207779;43.1508;nan
OTHER;;MULTI_AVERAGE;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.143611;58.3731;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.049943;60.6079;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.0370109;65.2147;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3' CG;0.797208;60.6075;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;0.030154;39.2476;nan
OTHER;;MULTI_AVERAGE;20;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.566534;130.773;nan
OTHER;;MULTI_AVERAGE;20;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;1.30366;181.637;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;0.052242;46.1147;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.00674009;38.1996;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.037147;71.8011;nan
OTHER;;STOCHASTIC;15;0.000000;0.040000;scale_sqrtT;scale_10;0;AFF;0.0560038;103.493;nan
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3' CG;1.00109;46.064;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;0.0486219;42.7384;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.00684905;46.7134;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.0129712;37.4704;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.00650001;42.7891;nan
OTHER;;STOCHASTIC;15;0.250000;0.040000;scale_sqrtT;scale_10;0;AFF;0.0897841;143.495;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.015038;44.9873;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.013206;34.0066;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.0795832;65.2144;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.0126112;41.1699;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;2.54914;137.892;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;2.67166;111.499;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.0492101;129.42;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.0233462;44.6261;nan
OTHER;;STOCHASTIC;15;0.500000;0.040000;scale_sqrtT;scale_10;0;AFF;0.104809;186.807;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.051832;100.878;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.135494;129.42;nan
OTHER;;MULTI_AVERAGE;20;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;2.60458;240.272;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.098176;60.6079;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.103303;100.878;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.0822539;71.8011;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.0146759;37.3013;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.118201;129.42;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.107597;94.9062;nan
OTHER;;MULTI_AVERAGE;20;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';1.58711;181.637;nan
OTHER;;STOCHASTIC;15;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.0987751;76.8102;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFTF;0.0830109;33.4365;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.0999849;64.7983;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFTF;0.056828;36.0206;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFTF;0.0879371;42.6748;nan
OTHER;;STOCHASTIC;20;0.000000;0.040000;scale_sqrtT;scale_10;0;AFF;0.139968;125.794;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.108591;71.7836;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;0.105531;37.1209;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;0.138304;40.8392;nan
OTHER;;MULTI_AVERAGE;20;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';1.25671;240.272;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;0.0934737;45.1884;nan
OTHER;;STOCHASTIC;15;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.254181;82.4722;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.089993;59.3759;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;0.129529;40.839;nan
OTHER;;STOCHASTIC;15;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.184032;93.1285;nan
OTHER;;STOCHASTIC;20;0.250000;0.040000;scale_sqrtT;scale_10;0;AFF;0.269602;178.726;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;0.236044;37.1206;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;0.0686429;44.9607;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3' CG;0.025316;37.3012;nan
OTHER;;STOCHASTIC;20;0.500000;0.040000;scale_sqrtT;scale_10;0;AFF;0.299671;236.769;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3' CG;0.037652;34.0065;nan
OTHER;;STOCHASTIC;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3' CG;0.03702;44.6259;nan
OTHER;;STOCHASTIC;15;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.244745;76.8101;nan
OTHER;;STOCHASTIC;20;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.255545;91.6608;nan
OTHER;;MULTI_AVERAGE;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFTF;5.47148;57.3496;nan
OTHER;;MULTI_AVERAGE;15;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;5.94127;110.387;nan
OTHER;;STOCHASTIC;15;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.336756;93.1286;nan
OTHER;;STOCHASTIC;20;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.409656;98.6571;nan
OTHER;;MULTI_AVERAGE;15;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.199662;78.7582;nan
OTHER;;STOCHASTIC;15;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.246449;75.3983;nan
OTHER;;MULTI_AVERAGE;15;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.621984;78.7582;nan
OTHER;;STOCHASTIC;15;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;1.02663;82.4722;nan
OTHER;;MULTI_AVERAGE;15;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.616108;69.4674;nan
OTHER;;STOCHASTIC;20;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.742823;112.04;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFTF;6.40026;128.661;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;1.23013;59.1591;nan
OTHER;;STOCHASTIC;15;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.772789;93.1286;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;0.084033;129.42;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;0.253748;129.42;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.0393651;54.9094;nan
OTHER;;STOCHASTIC;20;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.808537;91.6607;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFTF;7.16461;93.248;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.087935;54.8315;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3' CG;1.46222;129.42;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;4.50031;64.108;nan
OTHER;;STOCHASTIC;20;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;1.45745;98.6571;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;4.27969;70.8962;nan
OTHER;;STOCHASTIC;15;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';1.04923;82.1402;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.038085;63.1222;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.0705221;48.6605;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.04269;71.1052;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.085794;62.7437;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.088239;70.242;nan
OTHER;;STOCHASTIC;20;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.589629;90.2693;nan
OTHER;;STOCHASTIC;20;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;1.34042;112.04;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.086319;54.1017;nan
OTHER;;MULTI_AVERAGE;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;7.57729;64.7431;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.097903;69.8913;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;4.30884;100.418;nan
OTHER;;STOCHASTIC;20;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';2.14037;98.3974;nan
OTHER;;STOCHASTIC;20;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';1.59848;112.04;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFTF;3.37936;46.1055;nan
OTHER;;MULTI_AVERAGE;15;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;17.9577;189.935;nan
OTHER;;MULTI_AVERAGE;15;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.159571;176.971;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;0.377259;54.7581;nan
OTHER;;MULTI_AVERAGE;15;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.780972;176.956;nan
OTHER;;MULTI_AVERAGE;15;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.669994;176.971;nan
OTHER;;MULTI_AVERAGE;15;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;20.1747;147.41;nan
OTHER;;MULTI_AVERAGE;15;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.217255;131.851;nan
OTHER;;MULTI_AVERAGE;15;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.768637;131.83;nan
OTHER;;MULTI_AVERAGE;15;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.941152;128.195;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFTF;7.45332;52.1906;nan
OTHER;;STOCHASTIC;15;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;7.96411;75.2082;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFTF;8.07599;67.7044;nan
OTHER;;STOCHASTIC;15;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.114737;67.8282;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;6.40552;54.7581;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;1.77932;61.8928;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;1.44354;70.1232;nan
OTHER;;STOCHASTIC;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3' CG;0.214068;48.6604;nan
OTHER;;STOCHASTIC;15;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.415403;67.8286;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;0.793546;70.1232;nan
OTHER;;STOCHASTIC;15;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.318763;59.0822;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;18.3899;100.418;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;5.34145;61.8928;nan
OTHER;;STOCHASTIC;10;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3' CG;5.70018;69.8908;nan
OTHER;;MULTI_AVERAGE;20;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;33.4559;130.773;nan
OTHER;;MULTI_AVERAGE;20;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.429137;90.8431;nan
OTHER;;STOCHASTIC;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3' CG;4.36319;54.1015;nan
OTHER;;MULTI_AVERAGE;20;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3;3.10567;90.8427;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3' CG;7.45125;94.9062;nan
OTHER;;MULTI_AVERAGE;20;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3';2.08656;79.9638;nan
OTHER;;MULTI_AVERAGE;10;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;41.9717;64.7276;nan
OTHER;;STOCHASTIC;15;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;41.3479;92.038;nan
OTHER;;STOCHASTIC;15;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.126194;92.327;nan
OTHER;;STOCHASTIC;15;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.587466;91.562;nan
OTHER;;STOCHASTIC;15;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.800824;91.5721;nan
